Tipo via,Via,Codice via,count
PZA,DEL TRICOLORE,3047.0,1.0
PZA,DELLA REPUBBLICA,1055.0,5.0
PZA,DELLA TRIVULZIANA,1765.0,1.0
PZA,DERGANO,1500.0,2.0
PZA,DUCA D'AOSTA,1200.0,1.0
PZA,FERRAVILLA EDOARDO,3125.0,1.0
PZA,FIDIA,1144.0,1.0
PZA,FORTUNATO GIUSTINO,1576.0,1.0
PZA,FRATTINI PIETRO,5389.0,2.0
PZA,FUSINA ANDREA,3300.0,1.0
PZA,GASPARRI PIETRO,1647.0,1.0
PZA,GERUSALEMME,7201.0,1.0
PZA,GRAMSCI ANTONIO,7205.0,5.0
PZA,GRANDI GIUSEPPE,3112.0,5.0
PZA,GRECO,1417.0,3.0
PZA,GUARDI FRANCESCO,3312.0,2.0
PZA,IMPERATORE TITO,3216.0,3.0
PZA,INSUBRIA,3221.0,1.0
PZA,LEGA LOMBARDA,7084.0,1.0
PZA,LIMA,2135.0,2.0
PZA,LUIGI DI SAVOIA,2260.0,3.0
PZA,MELOZZO DA FORLI',6619.0,1.0
PZA,MIANI GUGLIELMO,5308.0,3.0
PZA,MINNITI TITO,1133.0,1.0
PZA,MISSORI GIUSEPPE,525.0,1.0
PZA,MONTE FALTERONA,6558.0,3.0
PZA,MONTI GIOSIA,6332.0,2.0
PZA,MORBEGNO,2289.0,2.0
PZA,NAPOLI,5131.0,6.0
PZA,OBERDAN GUGLIELMO,2108.0,3.0
PZA,OBERDAN GUGLIELMO,2182.0,1.0
PZA,OSPEDALE MAGGIORE,1523.0,1.0
PZA,PEREGO GIOVANNI,7531.0,1.0
PZA,PIO XI,572.0,3.0
PZA,PREALPI,7300.0,2.0
PZA,QUATTRO NOVEMBRE,1199.0,1.0
PZA,RISORGIMENTO,3117.0,2.0
PZA,SAN FEDELE,203.0,2.0
PZA,SAN GIUSEPPE,1442.0,2.0
PZA,SAN LUIGI,4145.0,1.0
PZA,SAN NAZARO IN BROLO,353.0,1.0
PZA,SANT' AGOSTINO,5091.0,3.0
PZA,SANT' AMBROGIO,643.0,2.0
PZA,SANTA FRANCESCA ROMANA,2183.0,1.0
PZA,SANTA MARIA DEL SUFFRAGIO,3078.0,1.0
PZA,SCHIAVONE ANDREA,1250.0,2.0
PZA,SCOLARI ROSA,6579.0,2.0
PZA,SEI FEBBRAIO,6358.0,3.0
PZA,SICILIA,6266.0,2.0
PZA,SIGMUND FREUD,1705.0,1.0
PZA,STUPARICH CARLO,6468.0,1.0
PZA,TIRANA,5378.0,1.0
PZA,VELASCA,335.0,2.0
PZA,VESUVIO,6110.0,1.0
PZA,VIGILI DEL FUOCO,2710.0,1.0
RIP,DI PTA TICINESE,5150.0,6.0
SIT,DELLA GUASTALLA,3015.0,1.0
VIA,ABAMONTI GIUSEPPE,3135.0,3.0
VIA,ABBAZIA,1310.0,1.0
VIA,ACCADEMIA,2429.0,1.0
VIA,ACERBI ENRICO,1651.0,2.0
VIA,ADIGE,4216.0,5.0
VIA,ADRIANO PUBLIO ELIO,2410.0,3.0
VIA,AGNELLO,209.0,1.0
VIA,AGNELLO,1018.0,1.0
VIA,AGUDIO TOMMASO,7197.0,1.0
VIA,AJACCIO,3246.0,1.0
VIA,ALBANI FRANCESCO,6399.0,3.0
VIA,ALBERTI LEON BATTISTA,7167.0,2.0
VIA,ALBERTINELLI MARIOTTO,6561.0,2.0
VIA,ALBERTO DA GIUSSANO,6188.0,1.0
VIA,ALBRICCI ALBERICO,337.0,3.0
VIA,ALCIATI AMBROGIO,6814.0,1.0
VIA,ALCUINO,7165.0,3.0
VIA,ALDINI ANTONIO,7461.0,2.0
VIA,ALDROVANDI ULISSE,2145.0,1.0
VIA,ALEARDI ALEARDO,7209.0,1.0
VIA,ALESSI GALEAZZO,5169.0,1.0
VIA,ALGAROTTI FRANCESCO,1161.0,1.0
VIA,ALSERIO,1153.0,2.0
VIA,ALTAMURA SAVERIO,6576.0,3.0
VIA,AMADEO GIAN ANTONIO,3228.0,8.0
VIA,AMEDEI,529.0,1.0
VIA,AMORETTI CARLO,7340.0,1.0
VIA,AMPERE ANDREA MARIA,2428.0,4.0
VIA,ANACREONTE,2372.0,1.0
VIA,ANDEGARI,120.0,1.0
VIA,ANDO' FLAVIO,7283.0,1.0
VIA,ANDREA E PIETRO CASCELLA,4387.0,1.0
VIA,ANFITEATRO,1012.0,1.0
VIA,ANFOSSI AUGUSTO,3071.0,6.0
VIA,ANGELO DELLA PERGOLA,1137.0,1.0
VIA,ANGELONI LUIGI,1659.0,3.0
VIA,ANGERA,1395.0,1.0
VIA,ANGUISSOLA SOFONISBA,6609.0,2.0
VIA,ANSELMO DA BAGGIO,6782.0,3.0
VIA,ANTONELLO DA MESSINA,6594.0,1.0
VIA,ANTONINI GIACOMO,4250.0,1.0
VIA,ANZANI FRANCESCO,3076.0,2.0
VIA,AOSTA,7227.0,1.0
VIA,APELLE,2454.0,1.0
VIA,APPENNINI,7514.0,4.0
VIA,APPIANI ANDREA,1050.0,1.0
VIA,ARBE,1352.0,4.0
VIA,ARCHIMEDE,3086.0,6.0
VIA,ARCO,714.0,1.0
VIA,ARENA,5182.0,2.0
VIA,ARESE FRANCESCO,1186.0,1.0
VIA,ARGANINI GEROLAMO,1710.0,2.0
VIA,ARGELATI FILIPPO,5152.0,1.0
VIA,ARIBERTO DA INTIMIANO,5092.0,1.0
VIA,ARICI CESARE,2464.0,2.0
VIA,ARIMONDI GIUSEPPE,7179.0,2.0
VIA,ARIOSTO LODOVICO,6184.0,2.0
VIA,ARISTOTELE,2488.0,4.0
VIA,ARNO' RICCARDO,3230.0,1.0
VIA,ARNOLFO DI CAMBIO,7230.0,2.0
VIA,ARONA,7169.0,1.0
VIA,ARQUA',2366.0,1.0
VIA,ARSIA,7472.0,2.0
VIA,ARZAGA,6674.0,2.0
VIA,ASELLI GASPARE,3167.0,7.0
VIA,ASIAGO,2459.0,2.0
VIA,ASSIETTA,1540.0,1.0
VIA,ASTESANI ALESSANDRO,1558.0,6.0
VIA,ASTICO,2462.0,1.0
VIA,ATENE,2371.0,1.0
VIA,AUSONIO,5093.0,3.0
VIA,BAGAROTTI MAFFEO,6585.0,1.0
VIA,BAINSIZZA,5213.0,2.0
VIA,BALBO CESARE,4208.0,1.0
VIA,BALDINUCCI FILIPPO,1267.0,4.0
VIA,BALDISSERA ANTONIO,2164.0,1.0
VIA,BALESTRIERI DOMENICO,7116.0,2.0
VIA,BALILLA,5207.0,1.0
VIA,BARABINO NICOLO',4287.0,1.0
VIA,BARACCHINI FLAVIO,356.0,3.0
VIA,BARDELLI GIUSEPPE,2578.0,1.0
VIA,BARI,5218.0,4.0
VIA,BARONI COSTANTINO,5422.0,5.0
VIA,BARRILI  ANTON GIULIO,5324.0,1.0
VIA,BASSI PAOLO,1320.0,1.0
VIA,BASSI UGO,1143.0,2.0
VIA,BASSINI EDOARDO,2587.0,2.0
VIA,BATTAGLIA NATALE,2268.0,1.0
VIA,BATTISTI CESARE,3019.0,3.0
VIA,BATTISTOTTI SASSI LUISA,3273.0,4.0
VIA,BAZZINI ANTONIO,2427.0,1.0
VIA,BEATO ANGELICO,3204.0,1.0
VIA,BECCARIA CESARE,307.0,1.0
VIA,BELINZAGHI GIULIO,1318.0,1.0
VIA,BELLARMINO ROBERTO,5337.0,2.0
VIA,BELLERIO CARLO,1551.0,1.0
VIA,BELLEZZA GIOVANNI,4067.0,2.0
VIA,BELLINI GENTILE,5387.0,3.0
VIA,BELLOTTI FELICE,3070.0,2.0
VIA,BENACO,4143.0,3.0
VIA,BENADIR,2380.0,1.0
VIA,BENEFATTORI DELL'OSPEDALE,1522.0,1.0
VIA,BENELLI SEM,7497.0,1.0
VIA,BENGASI,2375.0,1.0
VIA,BERGAMO,3189.0,7.0
VIA,BERGOGNONE AMBROGIO DA FOSSANO,5130.0,5.0
VIA,BERRA DOMENICO,2526.0,2.0
VIA,BERTANI AGOSTINO,7112.0,1.0
VIA,BERTELLI LUIGI,2358.0,1.0
VIA,BERTINI GIOVANNI BATTISTA,7207.0,1.0
VIA,BERTOLAZZI CARLO,2662.0,1.0
VIA,BERUTO CESARE,2586.0,1.0
VIA,BESSARIONE,4152.0,2.0
VIA,BETTI UGO,7517.0,3.0
VIA,BEZZECCA,3075.0,1.0
VIA,BIANCHI MOSE',6385.0,2.0
VIA,BIELLA,5305.0,2.0
VIA,BIGLI,224.0,2.0
VIA,BINDA AMBROGIO,5298.0,3.0
VIA,BINDA AMBROGIO,5236.0,1.0
VIA,BIONDELLI BERNARDINO,4236.0,2.0
VIA,BIONDI EZIO,7186.0,3.0
VIA,BIRAGHI LUIGI,1332.0,1.0
VIA,BISI ALBINI SOFIA,1349.0,1.0
VIA,BISLERI FELICE,6501.0,1.0
VIA,BIUMI PAOLO GEROLAMO,2465.0,3.0
VIA,BIXIO NINO,3133.0,3.0
VIA,BOBBIO,5107.0,1.0
VIA,BOCCACCIO GIOVANNI,6158.0,6.0
VIA,BOERI GIOVANNI BATTISTA,5083.0,1.0
VIA,BOIARDO MATTEO MARIA,2323.0,2.0
VIA,BOIFAVA PIETRO,5341.0,3.0
VIA,BOLZANO,2312.0,1.0
VIA,BONCOMPAGNI CARLO,4182.0,3.0
VIA,BONFADINI ROMUALDO,3341.0,3.0
VIA,BONGHI RUGGERO,5247.0,3.0
VIA,BONI GIACOMO,6098.0,11.0
VIA,BONNET NINO,1109.0,3.0
VIA,BONVESIN DE LA RIVA,3087.0,1.0
VIA,BORDIGHERA,5265.0,1.0
VIA,BORDONI ANTONIO,1180.0,1.0
VIA,BORGONUOVO,139.0,1.0
VIA,BORSI GIOSUE',5237.0,2.0
VIA,BORSIERI PIETRO,1128.0,2.0
VIA,BOSCHETTI ERASMO,1309.0,1.0
VIA,BOSCOVICH RUGGERO,2131.0,6.0
VIA,BOTTA CARLO,4069.0,2.0
VIA,BOTTEGO VITTORIO,2521.0,1.0
VIA,BOTTESINI GIOVANNI,2567.0,1.0
VIA,BOTTICELLI SANDRO,3203.0,1.0
VIA,BOVISASCA,1607.0,1.0
VIA,BOVISASCA,1109.0,1.0
VIA,BRA',2542.0,1.0
VIA,BRACCIO DA MONTONE,7128.0,1.0
VIA,BRAGA GAETANO,1308.0,1.0
VIA,BRAMANTE,7123.0,2.0
VIA,BREDA ERNESTO,2342.0,1.0
VIA,BRENO,4149.0,1.0
VIA,BRIOSCHI FRANCESCO,5243.0,6.0
VIA,BRIOSI GIOVANNI,3209.0,1.0
VIA,BRISA,637.0,2.0
VIA,BRIZI EUGENIO,4186.0,1.0
VIA,BROCCHI GIAN BATTISTA,2562.0,2.0
VIA,BROGGI GIUSEPPE,2150.0,3.0
VIA,BROLETTO,720.0,2.0
VIA,BRONZINO,2191.0,2.0
VIA,BRUNACCI VINCENZO,5241.0,2.0
VIA,BRUNELLESCHI FILIPPO,5384.0,2.0
VIA,BRUNO CASSINARI,4386.0,2.0
VIA,BRUNO GIORDANO,7130.0,1.0
VIA,BRUSUGLIO,1550.0,3.0
VIA,BRUZZESI GIACINTO,5388.0,4.0
VIA,BUDUA,1342.0,1.0
VIA,BUGATTI ETTORE,4353.0,2.0
VIA,BUONARROTI MICHELANGELO,6253.0,2.0
VIA,BURLAMACCHI FRANCESCO,4077.0,1.0
VIA,BUSCHI AVERARDO,2575.0,2.0
VIA,BUSSETO,4372.0,1.0
VIA,CABELLA BARTOLOMEO,6778.0,3.0
VIA,CABELLA BARTOLOMEO,6828.0,2.0
VIA,CACCIALEPORI,6557.0,2.0
VIA,CACCIATORI BENEDETTO,6305.0,3.0
VIA,CADAMOSTO ALVISE,2152.0,1.0
VIA,CADIBONA,3339.0,2.0
VIA,CADORE,3077.0,7.0
VIA,CAGLIERO GIOVANNI,1407.0,3.0
VIA,CAGNOLA LUIGI,7228.0,1.0
VIA,CALDERA,6194.0,1.0
VIA,CALIFORNIA,6101.0,4.0
VIA,CALVAIRATE,3225.0,2.0
VIA,CALVI PIETRO,3083.0,3.0
VIA,CALZECCHI TEMISTOCLE,3241.0,2.0
VIA,CAMERINI EUGENIO,2551.0,1.0
VIA,CAMINADELLA,551.0,3.0
VIA,CAMOZZI GABRIELE,6769.0,1.0
VIA,CAMPERIO MANFREDO,610.0,2.0
VIA,CANDIANI GIUSEPPE,1242.0,2.0
VIA,CANDOGLIA,1518.0,1.0
VIA,CANNERO,1506.0,1.0
VIA,CANONICA LUIGI,7121.0,6.0
VIA,CANOVA ANTONIO,7238.0,1.0
VIA,CANTONI COSTANZO,1234.0,1.0
VIA,CANTONI GIOVANNI,6206.0,1.0
VIA,CAPECELATRO ALFONSO,6575.0,11.0
VIA,CAPPELLINI ALFREDO,2130.0,1.0
VIA,CAPPONI PIER LUIGI,6249.0,3.0
VIA,CAPPUCCIO,634.0,1.0
VIA,CAPRI,6761.0,1.0
VIA,CAPSONI SIRO,1652.0,1.0
VIA,CARABELLI RODOLFO,4096.0,4.0
VIA,CARACCIOLO FRANCESCO,7182.0,1.0
VIA,CARCANO FILIPPO,6389.0,2.0
VIA,CARCANO GIULIO,5248.0,2.0
VIA,CARDINALE MEZZOFANTI,3277.0,3.0
VIA,CARDUCCI GIOSUE',602.0,6.0
VIA,CARETTA ANNIBALE,2241.0,1.0
VIA,CARLI GIAN RINALDO,1563.0,2.0
VIA,CARLONE CARLO ANTONIO,6846.0,1.0
VIA,CARNEVALI ANTONIO,1268.0,2.0
VIA,CARNIA,2395.0,2.0
VIA,CARONCINI ALBERTO,4093.0,1.0
VIA,CAROZZI GIUSEPPE,6661.0,1.0
VIA,CARPI EUGENIO,2557.0,1.0
VIA,CARROCCIO,5094.0,2.0
VIA,CASARSA,1577.0,2.0
VIA,CASATI FELICE,2122.0,5.0
VIA,CASCINA BAROCCO,6695.0,3.0
VIA,CASCINA BELLARIA,6744.0,2.0
VIA,CASCINA BIANCA,5454.0,2.0
VIA,CASELLA GIOVANNI BATTISTA,7382.0,3.0
VIA,CASORETTO,2420.0,10.0
VIA,CASSINIS GIOVANNI BATTISTA,4309.0,2.0
VIA,CASTALDI PANFILO,2119.0,14.0
VIA,CASTEL MORRONE,3185.0,3.0
VIA,CASTELLANZA,7548.0,1.0
VIA,CASTELVETRO LODOVICO,7195.0,1.0
VIA,CATALANI ALFREDO,2425.0,3.0
VIA,CAVALCANTI GUIDO,2286.0,1.0
VIA,CAVALERI LUDOVICO,6845.0,2.0
VIA,CAVALLOTTI FELICE,312.0,1.0
VIA,CAVEZZALI FRANCESCO,2335.0,1.0
VIA,CELESTINO IV,540.0,1.0
VIA,CELIO,6623.0,4.0
VIA,CELLINI BENVENUTO,3081.0,1.0
VIA,CENISIO,7184.0,19.0
VIA,CERADINI GIULIO,3109.0,1.0
VIA,CERNUSCHI ENRICO,3051.0,1.0
VIA,CERVA,314.0,2.0
VIA,CERVIGNANO,3218.0,3.0
VIA,CESARE DA SESTO,5101.0,5.0
VIA,CESARI ANTONIO,1603.0,1.0
VIA,CESARIANO CESARE,7113.0,3.0
VIA,CHAVEZ GIORGIO,2365.0,1.0
VIA,CHIANCIANO,1488.0,1.0
VIA,CHIANCIANO,1315.0,1.0
VIA,CHIANCIANO,1446.0,1.0
VIA,CHIARELLI LUIGI,7519.0,1.0
VIA,CHIESE,1627.0,1.0
VIA,CHINOTTO EDOARDO,6631.0,1.0
VIA,CHIOGGIA,2317.0,2.0
VIA,CHOPIN FEDERICO,4297.0,1.0
VIA,CIAIA IGNAZIO,1294.0,2.0
VIA,CIARDI GUGLIELMO,6574.0,2.0
VIA,CICERI VISCONTI LAURA,3220.0,2.0
VIA,CICERONE  MARCO TULLIO,1294.0,1.0
VIA,CICOGNA MOZZONI CARLO,1676.0,1.0
VIA,CILEA FRANCESCO,7526.0,2.0
VIA,CIMABUE GIOVANNI,6466.0,1.0
VIA,CIMAROSA DOMENICO,5107.0,1.0
VIA,CIMAROSA DOMENICO,6291.0,1.0
VIA,CINO DA PISTOIA,1445.0,2.0
VIA,CINQUE MAGGIO,7459.0,2.0
VIA,CIRCO,557.0,1.0
VIA,CIVITALI MATTEO,6569.0,8.0
VIA,CODARA GIUSEPPE,5174.0,1.0
VIA,COL MOSCHIN,5211.0,2.0
VIA,COLA DI RIENZO,6094.0,6.0
VIA,COLA MONTANO,1139.0,1.0
VIA,COLAUTTI ARTURO,1356.0,1.0
VIA,COLLECCHIO,6459.0,1.0
VIA,COLLETTA PIETRO,4078.0,1.0
VIA,COLONNA MARCO ANTONIO,7158.0,3.0
VIA,COLONNA VITTORIA,6284.0,4.0
VIA,COLUMELLA LUCIO GIUNIO,2399.0,1.0
VIA,COMPAGNONI GIUSEPPE,3096.0,2.0
VIA,CONCA DEL NAVIGLIO,5180.0,1.0
VIA,CONCHETTA,5239.0,2.0
VIA,CONCILIO VATICANO II,7356.0,2.0
VIA,CONSOLE MARCELLO,7278.0,3.0
VIA,CONSOLE MARCELLO,6400.0,1.0
VIA,CONTE ROSSO,2667.0,2.0
VIA,CONTE VERDE,1505.0,1.0
VIA,COPERNICO NICOLO',1204.0,3.0
VIA,CORREGGIO,6287.0,6.0
VIA,CORRENTI CESARE,555.0,4.0
VIA,CORRIDONI FILIPPO,3020.0,1.0
VIA,COSSA PIETRO,3066.0,1.0
VIA,COSSERIA,5197.0,1.0
VIA,COSTA ANDREA,2276.0,4.0
VIA,COSTANZA,6237.0,1.0
VIA,COTTOLENGO SAN GIUSEPPE,5375.0,1.0
VIA,CREMA,4061.0,7.0
VIA,CRESCENZAGO,2396.0,4.0
VIA,CRESPI PIETRO,2296.0,4.0
VIA,CROCEFISSO,587.0,2.0
VIA,CUCCHIARI DOMENICO,7224.0,4.0
VIA,CUNEO,6281.0,1.0
VIA,CURTATONE,4034.0,1.0
VIA,CUSAGO,6785.0,1.0
VIA,CUSANI,719.0,3.0
VIA,CUSTODI PIETRO,5199.0,1.0
VIA,CUZZI GIUSEPPE,7258.0,1.0
VIA,D'ADDA CARLO,5272.0,4.0
VIA,DAL POZZO TOSCANELLI PAOLO,2516.0,1.0
VIA,DAL RE MARCANTONIO,7381.0,3.0
VIA,DALL'ONGARO FRANCESCO,3287.0,1.0
VIA,DANTE ALIGHIERI,612.0,1.0
VIA,DARWIN CARLO ROBERTO,5238.0,1.0
VIA,DAVANZATI BERNARDO,1284.0,1.0
VIA,DE ALESSANDRI GIOVANNI,6196.0,1.0
VIA,DE AMICIS EDMONDO,574.0,7.0
VIA,DE CRISTOFORIS CARLO,1120.0,3.0
VIA,DE FILIPPI FILIPPO,2159.0,2.0
VIA,DE MARCHI EMILIO,1418.0,2.0
VIA,DE MARTINO EMILIO,1693.0,1.0
VIA,DE PRETIS AGOSTINO,5431.0,2.0
VIA,DE ROSSI GIOVANNI BATTISTA,7401.0,1.0
VIA,DE RUGGIERO GUIDO,5442.0,3.0
VIA,DE SANCTIS FRANCESCO,5322.0,3.0
VIA,DEGLI ARCIMBOLDI,522.0,1.0
VIA,DEGLI ETRUSCHI,3227.0,1.0
VIA,DEGLI IMBRIANI,1266.0,8.0
VIA,DEGLI OMENONI,233.0,2.0
VIA,DEGLI OROMBELLI,2579.0,2.0
VIA,DEGLI UMILIATI,3347.0,1.0
VIA,DEGLI ZUCCARO,5390.0,2.0
VIA,DEI BENEDETTINI,6813.0,1.0
VIA,DEI BIANCOSPINI,6711.0,3.0
VIA,DEI CARAFA,1504.0,2.0
VIA,DEI CINQUECENTO,4283.0,5.0
VIA,DEI CONTARINI,3172.0,1.0
VIA,DEI FIORDALISI,6710.0,3.0
VIA,DEI FONTANILI,4224.0,1.0
VIA,DEI GRIMANI,6097.0,2.0
VIA,DEI MARTINITT,6336.0,1.0
VIA,DEI PANIGAROLA,4284.0,1.0
VIA,DEI TRANSITI,2284.0,2.0
VIA,DEI TULIPANI,6713.0,3.0
VIA,DEI VALTORTA,2324.0,1.0
VIA,DEL BOLLO,568.0,2.0
VIA,DEL DON,596.0,4.0
VIA,DEL FANTE COSIMO,5192.0,1.0
VIA,DEL FUSARO,6258.0,1.0
VIA,DEL LIRI,3370.0,1.0
VIA,DEL MAINO GIASONE,6262.0,1.0
VIA,DEL MELLA,6416.0,1.0
VIA,DEL PASSERO,6801.0,1.0
VIA,DEL RICORDO,2496.0,3.0
VIA,DEL TORCHIO,556.0,5.0
VIA,DEL TURCHINO,3337.0,6.0
VIA,DEL VECCHIO POLITECNICO,2101.0,2.0
VIA,DELL' ALLODOLA,6660.0,1.0
VIA,DELL' ASSUNTA,4274.0,1.0
VIA,DELL' UNIONE,521.0,2.0
VIA,DELLA CAPINERA,6659.0,3.0
VIA,DELLA CHIESA ROSSA,5321.0,1.0
VIA,DELLA COMMENDA,3146.0,4.0
VIA,DELLA FERRERA,5451.0,1.0
VIA,DELLA MOSCOVA,1016.0,7.0
VIA,DELLA MOSCOVA,1018.0,1.0
VIA,DELLA PALLA,586.0,1.0
VIA,DELLA SILA,2433.0,1.0
VIA,DELLA SPIGA,226.0,2.0
VIA,DELLA TORRE,2322.0,3.0
VIA,DELLE ANDE,7496.0,2.0
VIA,DELLE ASOLE,578.0,1.0
VIA,DELLE BETULLE,6828.0,5.0
VIA,DELLE ERBE,713.0,1.0
VIA,DELLE FORZE ARMATE,6643.0,25.0
VIA,DELLE FORZE ARMATE,6620.0,1.0
VIA,DELLE PRIMULE,6716.0,1.0
VIA,DELLE STELLINE,6337.0,1.0
VIA,DERNA,2376.0,3.0
VIA,DESIDERIO,2565.0,1.0
VIA,DESIDERIO DA SETTIGNANO,6395.0,1.0
VIA,DEZZA GIUSEPPE,6108.0,1.0
VIA,DIOTTI BENEDETTO,6753.0,1.0
VIA,DISCIPLINI,585.0,1.0
VIA,DOGANA,341.0,3.0
VIA,DOLCI CARLO,6555.0,2.0
VIA,DOLOMITI,2334.0,1.0
VIA,DOMENICHINO,6383.0,4.0
VIA,DOMOKOS,6630.0,1.0
VIA,DON BOSCO,4144.0,4.0
VIA,DON RODRIGO,5416.0,1.0
VIA,DONATELLO,2214.0,5.0
VIA,DONIZETTI GAETANO,568.0,1.0
VIA,DONIZETTI GAETANO,3030.0,1.0
VIA,DRAGO MARIA,7464.0,1.0
VIA,DUE GIUGNO,6787.0,1.0
VIA,DUGNANI ANTONIO,6223.0,1.0
VIA,DURAZZO,2658.0,1.0
VIA,DURER ALBERTO,6602.0,1.0
