Ubicazione
ALZ NAVIGLIO GRANDE N. 146 ; (Z.D. 6)
CSO VENTIDUE MARZO N. 8 ; (Z.D. 4)
CSO VERCELLI N. 20 (Z.D. 7)
CSO VERCELLI N. 29 (Z.D. 7)
CSO VERCELLI N. 35 ; (Z.D. 7)
CSO VERCELLI N. 37 CON INGRESSO VIA P.GIOVIO; (Z.D. 7)
CSO VERCELLI N. 38 1^PIANO; (Z.D. 7)
CSO VERCELLI N. 52 ; (Z.D. 7)
CSO VERCELLI N. 7 ; (Z.D. 7)
CSO VERCELLI N. 8 INT. PROFUMERIA 1Ø PIANO; (Z.D. 7)
CSO VITTORIO EMANUELE II N. 15 1Ø PIANO; (Z.D. 1)
CSO VITTORIO EMANUELE II N. 15 PRIMO PIANO; (Z.D. 1)
CSO VITTORIO EMANUELE II N. 24 2ØINTERRATO; (Z.D. 1)
CSO VITTORIO EMANUELE II N. 30 PRIMO PIANO; (Z.D. 1)
CSO VITTORIO EMANUELE II N. 9 ; (Z.D. 1)
FOR BUONAPARTE N. 55 ; (Z.D. 1)
FOR BUONAPARTE N. 63 ; (Z.D. 1)
FOR BUONAPARTE N. 71 ; (Z.D. 1)
FOR BUONAPARTE N. 71 ANG.L.GO CAIROLI E VIA BELTRAM; (Z.D. 1)
FOR BUONAPARTE N. 74 ; (Z.D. 1)
GLL BUENOS AIRES N. 6 ; (Z.D. 3)
GLL BUENOS AIRES N. 7 1^ PIANO; (Z.D. 3)
GLL PASSARELLA N. 1 ; (Z.D. 1)
GLL PASSARELLA N. 2 ; (Z.D. 1)
GLL SAN BABILA PIANO AMMEZZATO NUM.004C; (Z.D. 1)
GLL UNIONE N. 1 ; (Z.D. 1)
GLL UNIONE N. 1 INGR. DA VIA UNIONE 16; (Z.D. 1)
GLL UNIONE N. 3 (Z.D. 1)
GLL UNIONE N. 4 ; (Z.D. 1)
GLL UNIONE N. 5 (Z.D. 1)
LGO BRASILIA N. 6 ; (Z.D. 6)
LGO CORSIA DEI SERVI N. 11 SECONDO PIANO; (Z.D. 1)
LGO DEI GELSOMINI N. 10 (Z.D. 6)
LGO DEI GELSOMINI N. 14 ; (Z.D. 6)
LGO DEI GELSOMINI N. 6 ; (Z.D. 6)
LGO DELLA CROCETTA N. 2 ; (Z.D. 1)
LGO DOMODOSSOLA N. 7 ; (Z.D. 8)
LGO F.LLI CERVI N. 1 ; (Z.D. 2)
LGO GIAMBELLINO N. 120 ; (Z.D. 6)
LGO MURANI ORESTE N. 2 INGR. VIA CARUSO; (Z.D. 3)
LGO PROMESSI SPOSI N. 7 ; (Z.D. 5)
LGO RICHINI FRANCESCO N. 2A (Z.D. 1)
LGO RICHINI FRANCESCO N. 4 ; (Z.D. 1)
LGO SCALABRINI GIOVANNI BATTISTA N. 5 ; (Z.D. 6)
LGO SCALABRINI GIOVANNI BATTISTA N. 6 ; (Z.D. 6)
LGO SCHUSTER ILDEFONSO N. 1 CON INGRESSO  VIA SANTA TECLA; (Z.D. 1)
LGO SETTIMIO SEVERO N. 4 PRIMO PIANO; (Z.D. 7)
LGO SETTIMIO SEVERO N. 6 ; (Z.D. 7)
LGO TEL AVIV N. 5 ; (Z.D. 2)
LGO TOSCANINI ARTURO N. 1 (Z.D. 1)
LGO TOSCANINI ARTURO N. 1 ; (Z.D. 1)
LGO VULCI N. 5 ; (Z.D. 9)
LGO VULCI N. 7 (Z.D. 9)
LGO VULCI N. 7 ; (Z.D. 9)
LGO ZANDONAI RICCARDO N. 3 ; (Z.D. 8)
MM1 DUOMO CODVIA 9112 NUM.000; (Z.D. 1)
PAS DUOMO N. 2 PIANO PRIMO; (Z.D. 1)
PLE ARDUINO N. 9 ; (Z.D. 8)
PLE BACONE FRANCESCO N. 12 COME DA ALLEGATA PLANIMETRIA; (Z.D. 3)
PLE BACONE FRANCESCO N. 6 ; (Z.D. 3)
PLE BAIAMONTI ANTONIO N. 1 CON INGRESSO IN VIA P. SARPI; (Z.D. 8)
PLE BARACCA FRANCESCO N. 10 ; (Z.D. 7)
PLE BARACCA FRANCESCO N. 8 ; (Z.D. 7)
PLE BIANCAMANO N. 2 ; (Z.D. 1)
PLE CADORNA LUIGI N. 10 SECONDO PIANO; (Z.D. 1)
PLE CADORNA LUIGI N. 14 INTERNO FERROVIE NORD; (Z.D. 1)
PLE CADORNA LUIGI N. 9 ; (Z.D. 1)
PLE CANTORE ANTONIO N. 12 (Z.D. 6)
PLE CANTORE ANTONIO N. 4 ; (Z.D. 6)
PLE CHIESA DAMIANO N. 11 ; (Z.D. 8)
PLE CORVETTO LUIGI EMANUELE N. 3 ; (Z.D. 4)
PLE CUOCO VINCENZO N. 5 ; (Z.D. 4)
PLE DATEO N. 5 ; (Z.D. 3)
PLE DI PORTA LODOVICA N. 2 ; (Z.D. 5)
PLE F.LLI ZAVATTARI N. 4 (Z.D. 7)
PLE F.LLI ZAVATTARI N. 4 ; (Z.D. 7)
PLE F.LLI ZAVATTARI N. 6 ; (Z.D. 7)
PLE FERRARA N. 4 ; (Z.D. 4)
PLE GAMBARA VERONICA N. 5 ; (Z.D. 7)
PLE GIOVANNI DALLE BANDE NERE N. 6 ; (Z.D. 7)
PLE GIULIO CESARE N. 6 ; (Z.D. 8)
PLE GORINI PAOLO N. 10 ; (Z.D. 3)
PLE GOVERNO PROVVISORIO DI LOMBARDIA N. 6 ; (Z.D. 2)
PLE ISTRIA N. 1 ; (Z.D. 9)
PLE ISTRIA N. 2 ; (Z.D. 2)
PLE ISTRIA N. 2 CON NGRESSO V.LE ZARA N. 132; (Z.D. 2)
PLE LAGOSTA N. 1 ; (Z.D. 9)
PLE LAGOSTA N. 10 ; (Z.D. 9)
PLE LAGOSTA N. 2 PIAZZA LAGOSTA 2 - MI (Z.D. 9)
PLE LAVATER N. 2 ; (Z.D. 3)
PLE LORETO N. 1 ; (Z.D. 2)
PLE LUGANO N. 22 ; (Z.D. 9)
PLE LUGANO N. 4 ; (Z.D. 9)
PLE MACIACHINI CARLO N. 1 ; (Z.D. 9)
PLE MACIACHINI CARLO N. 1 CON INGRESSO V.C.FARINI; (Z.D. 9)
PLE MACIACHINI CARLO N. 18 ; (Z.D. 9)
PLE MACIACHINI CARLO N. 20 ; (Z.D. 9)
PLE MARTESANA N. 4 ; (Z.D. 2)
PLE MARTINI FERDINANDO N. 1 ; (Z.D. 4)
PLE MARTINI FERDINANDO N. 11 ; (Z.D. 4)
PLE MARTINI FERDINANDO N. 2 ; (Z.D. 4)
PLE NIGRA COSTANTINO N. 6 ; (Z.D. 9)
PLE PERRUCCHETTI GIUSEPPE N. 1 INT.CASERMA S.BARBARA; (Z.D. 7)
PLE SIENA N. 18 ; (Z.D. 7)
PLE SIENA N. 4 ; (Z.D. 7)
PLE SIENA N. 8 ; (Z.D. 7)
PLE SIENA N. 9 ; (Z.D. 7)
PLE STAZIONE DI PORTA GENOVA N. 2 ; (Z.D. 6)
PLE SUSA N. 1 ; (Z.D. 3)
PLE SUSA N. 15 ; (Z.D. 3)
PLE SUSA N. 6 ; (Z.D. 4)
PTA BOSSI MAURILIO N. 4 ; (Z.D. 1)
PTA GIORDANO UMBERTO N. 4 ; (Z.D. 1)
PTA PATTARI PIANO PRIMO NUM.0013; (Z.D. 1)
PZA ADIGRAT N. 3 ; (Z.D. 4)
PZA AMATI CARLO N. 1 ; (Z.D. 7)
PZA ANGILBERTO II N. 9 ; (Z.D. 5)
PZA ARGENTINA N. 4 ; (Z.D. 3)
PZA ASPARI DOMENICO N. 2 (Z.D. 3)
PZA ASPARI DOMENICO N. 2 ; (Z.D. 3)
PZA ASPROMONTE N. 31 ; (Z.D. 3)
PZA ASPROMONTE N. 35 ; (Z.D. 3)
PZA ASPROMONTE N. 45 PIANO TERRA ED INTERRATO; (Z.D. 3)
PZA BAZZI GIOVANNI ANTONIO N. 2 ; (Z.D. 6)
PZA BELFANTI SERAFINO N. 2 ; (Z.D. 6)
PZA BETTINI LIONELLO N. 5 ; (Z.D. 7)
PZA BOLIVAR SIMONE N. 10 ; (Z.D. 6)
PZA BOLIVAR SIMONE N. 6 (Z.D. 6)
PZA BONOMELLI GEREMIA N. 4 ; (Z.D. 5)
PZA BORROMEO N. 5 (Z.D. 1)
PZA BRUZZANO N. 4 (Z.D. 9)
PZA BUOZZI BRUNO N. 5 ; (Z.D. 4)
PZA CAIAZZO N. 2 1Ø PIANO; (Z.D. 3)
PZA CAIAZZO N. 2 INGRESSO VIA GAFFURIO; (Z.D. 3)
PZA CAIAZZO N. 2 USO ESCL. DEL SERV. IG. ESTER.; (Z.D. 3)
PZA CARRARA FRANCESCO N. 21 ; (Z.D. 5)
PZA CARTAGINE N. 4 (Z.D. 4)
PZA CASTELLI POMPEO N. 14 ; (Z.D. 8)
PZA CHIARADIA ENRICO N. 12 CON INGRESSO VIA ANTONINI 66; (Z.D. 5)
PZA CHIARADIA ENRICO N. 9 (Z.D. 5)
PZA CHIARADIA ENRICO N. 9 ; (Z.D. 5)
PZA CINCINNATO N. 4 ; (Z.D. 3)
PZA CINQUE GIORNATE N. 1A (Z.D. 1)
PZA CINQUE GIORNATE N. 3 ; (Z.D. 1)
PZA CINQUE GIORNATE N. 6 ; (Z.D. 1)
PZA CINQUE GIORNATE N. 7 (Z.D. 4)
PZA DE ANGELI ERNESTO N. 1 (Z.D. 7)
PZA DE ANGELI ERNESTO N. 1 ; (Z.D. 7)
PZA DE ANGELI ERNESTO N. 1 CON INGRESSO IN GALLERIA; (Z.D. 7)
PZA DE ANGELI ERNESTO N. 3 ; (Z.D. 7)
PZA DE ANGELI ERNESTO N. 3 CON INGR. GALLERIA DE ANGELI; (Z.D. 7)
PZA DEI MERCANTI NUM.021; (Z.D. 1)
PZA DEI VOLONTARI N. 3 ; (Z.D. 1)
PZA DEL DUOMO N. 17 ; (Z.D. 1)
PZA DEL ROSARIO N. 1 ; (Z.D. 6)
PZA DEL TRICOLORE N. 4 ; (Z.D. 1)
PZA DELLA REPUBBLICA N. 1 PIANO TERRA; (Z.D. 1)
PZA DELLA REPUBBLICA N. 17 INTERNO HOTEL PRINCIPE SAVOIA; (Z.D. 2)
PZA DELLA REPUBBLICA N. 1A (Z.D. 1)
PZA DELLA REPUBBLICA N. 20 INTERNO HOTEL WESTIN PALACE; (Z.D. 2)
PZA DELLA REPUBBLICA N. 32 (Z.D. 2)
PZA DELLA TRIVULZIANA N. 1 ; (Z.D. 9)
PZA DERGANO N. 2 ALTRO LOCALE; (Z.D. 9)
PZA DERGANO N. 9 ; (Z.D. 9)
PZA DUCA D'AOSTA N. 9 INT.HOTEL GALLIA; (Z.D. 2)
PZA FERRAVILLA EDOARDO N. 3 ; (Z.D. 3)
PZA FIDIA N. 3 (Z.D. 9)
PZA FORTUNATO GIUSTINO N. 9 ; (Z.D. 9)
PZA FRATTINI PIETRO N. 15 ; (Z.D. 6)
PZA FRATTINI PIETRO N. 19 ; (Z.D. 6)
PZA FUSINA ANDREA N. 2 ; (Z.D. 3)
PZA GASPARRI PIETRO N. 4 ; (Z.D. 9)
PZA GERUSALEMME N. 2 ; (Z.D. 8)
PZA GRAMSCI ANTONIO N. 12 ; (Z.D. 8)
PZA GRAMSCI ANTONIO N. 2 ; (Z.D. 8)
PZA GRAMSCI ANTONIO N. 3 ; (Z.D. 8)
PZA GRAMSCI ANTONIO N. 4 ; (Z.D. 8)
PZA GRAMSCI ANTONIO N. 5 ; (Z.D. 8)
PZA GRANDI GIUSEPPE N. 1 ; (Z.D. 4)
PZA GRANDI GIUSEPPE N. 22 ; (Z.D. 4)
PZA GRANDI GIUSEPPE N. 24 CON INGR. C.SO XXII MARZO; (Z.D. 4)
PZA GRANDI GIUSEPPE N. 5 ; (Z.D. 4)
PZA GRECO N. 10 ; (Z.D. 2)
PZA GUARDI FRANCESCO N. 15 ; (Z.D. 3)
PZA GUARDI FRANCESCO N. 4 ; (Z.D. 3)
PZA IMPERATORE TITO N. 6 ; (Z.D. 4)
PZA IMPERATORE TITO N. 8 ; (Z.D. 4)
PZA INSUBRIA N. 10 ; (Z.D. 4)
PZA LEGA LOMBARDA N. 5 ; (Z.D. 1)
PZA LIMA N. 2 (Z.D. 3)
PZA LIMA N. 3 ; (Z.D. 3)
PZA LUIGI DI SAVOIA N. 2 ; (Z.D. 2)
PZA LUIGI DI SAVOIA N. 2 CON INGRESSO P.ZA DUCA D'AOSTA; (Z.D. 2)
PZA LUIGI DI SAVOIA N. 22 PRIMO PIANO; (Z.D. 2)
PZA MELOZZO DA FORLI' N. 11 ; (Z.D. 7)
PZA MIANI GUGLIELMO N. 2 ; (Z.D. 6)
PZA MIANI GUGLIELMO N. 5 (Z.D. 6)
PZA MIANI GUGLIELMO N. 5 ; (Z.D. 6)
PZA MINNITI TITO N. 6 ; (Z.D. 9)
PZA MISSORI GIUSEPPE N. 3 NEL SOPPALCO; (Z.D. 1)
PZA MONTE FALTERONA N. 2 ; (Z.D. 7)
PZA MONTE FALTERONA N. 3 ; (Z.D. 7)
PZA MONTE FALTERONA N. 6 ; (Z.D. 7)
PZA MONTI GIOSIA N. 1 ; (Z.D. 7)
PZA MONTI GIOSIA N. 9 ; (Z.D. 7)
PZA MORBEGNO N. 3 ; (Z.D. 2)
PZA MORBEGNO N. 5 ; (Z.D. 2)
PZA NAPOLI N. 19 ; (Z.D. 6)
PZA NAPOLI N. 2 ; (Z.D. 6)
PZA NAPOLI N. 31 ; (Z.D. 6)
PZA NAPOLI N. 7 ; (Z.D. 6)
PZA OBERDAN GUGLIELMO N. 10 ; (Z.D. 3)
PZA OBERDAN GUGLIELMO N. 3 (Z.D. 3)
PZA OBERDAN GUGLIELMO N. 3 1 LOC. AL P.T. E 1 LOC. AL SOP; (Z.D. 3)
PZA OBERDAN GUGLIELMO NUM.000; (Z.D. 3)
PZA OSPEDALE MAGGIORE N. 3 (Z.D. 9)
PZA PEREGO GIOVANNI N. 7 ; (Z.D. 8)
PZA PIO XI N. 1 (Z.D. 1)
PZA PIO XI N. 1 ; (Z.D. 1)
PZA PIO XI N. 1 SECONDO PIANO; (Z.D. 1)
PZA PREALPI N. 4 ; (Z.D. 8)
PZA QUATTRO NOVEMBRE N. 6 PIANO RIALZATO; (Z.D. 2)
PZA RISORGIMENTO N. 4 ; (Z.D. 4)
PZA RISORGIMENTO N. 7 ; (Z.D. 3)
PZA SAN FEDELE N. 2 ; (Z.D. 1)
PZA SAN FEDELE N. 2 CON INGRESSO IN VIA AGNELLO; (Z.D. 1)
PZA SAN GIUSEPPE N. 8 ; (Z.D. 9)
PZA SAN GIUSEPPE N. 9 ; (Z.D. 9)
PZA SAN LUIGI N. 5 ; (Z.D. 4)
PZA SAN NAZARO IN BROLO N. 3 ; (Z.D. 1)
PZA SANT' AGOSTINO N. 18 PIANO RIALZATO E SEMINTERRATO; (Z.D. 1)
PZA SANT' AGOSTINO N. 2 ; (Z.D. 1)
PZA SANT' AGOSTINO N. 24 ; (Z.D. 1)
PZA SANT' AMBROGIO N. 2 PIANO TERRA E SEMINTERRATO; (Z.D. 1)
PZA SANT' AMBROGIO N. 5 INTERNO DELLA CASERMA DI P.S.; (Z.D. 1)
PZA SANTA FRANCESCA ROMANA N. 1 ; (Z.D. 3)
PZA SANTA MARIA DEL SUFFRAGIO N. 4 ; (Z.D. 4)
PZA SCHIAVONE ANDREA N. 10 ; (Z.D. 9)
PZA SCHIAVONE ANDREA N. 19 ; (Z.D. 9)
PZA SCOLARI ROSA N. 1 ; (Z.D. 8)
PZA SCOLARI ROSA N. 4 ; (Z.D. 8)
PZA SEI FEBBRAIO N. 12 (Z.D. 8)
PZA SEI FEBBRAIO N. 16 ; (Z.D. 8)
PZA SEI FEBBRAIO N. 26 ; (Z.D. 8)
PZA SICILIA N. 1 ; (Z.D. 7)
PZA SICILIA N. 7 ; (Z.D. 7)
PZA SIGMUND FREUD N. 1 INT. STAZ. P.TA GARIBALDI; (Z.D. 9)
PZA STUPARICH CARLO N. 18 ; (Z.D. 8)
PZA TIRANA N. 12 ; (Z.D. 6)
PZA VELASCA N. 10 ; (Z.D. 1)
PZA VELASCA N. 6 ; (Z.D. 1)
PZA VESUVIO N. 15 ; (Z.D. 7)
PZA VIGILI DEL FUOCO N. 8 ; (Z.D. 3)
RIP DI PTA TICINESE N. 103 ; (Z.D. 6)
RIP DI PTA TICINESE N. 107 ; (Z.D. 6)
RIP DI PTA TICINESE N. 129 (Z.D. 6)
RIP DI PTA TICINESE N. 27 ; (Z.D. 6)
RIP DI PTA TICINESE N. 33 (Z.D. 6)
RIP DI PTA TICINESE N. 9 ; (Z.D. 6)
SIT DELLA GUASTALLA N. 3 ; (Z.D. 1)
VIA ABAMONTI GIUSEPPE N. 1 ; (Z.D. 3)
VIA ABAMONTI GIUSEPPE N. 2 ; (Z.D. 3)
VIA ABBAZIA N. 6 ; (Z.D. 2)
VIA ACCADEMIA N. 23 ; (Z.D. 3)
VIA ACERBI ENRICO N. 34 (Z.D. 9)
VIA ACERBI ENRICO N. 34 CON INGRESSO P.ZA ALCIATO; (Z.D. 9)
VIA ADIGE N. 10 (Z.D. 5)
VIA ADIGE N. 10 ; (Z.D. 5)
VIA ADIGE N. 4 ; (Z.D. 5)
VIA ADIGE N. 7 ; (Z.D. 5)
VIA ADRIANO PUBLIO ELIO N. 100 ; (Z.D. 2)
VIA ADRIANO PUBLIO ELIO N. 94 ; (Z.D. 2)
VIA AGNELLO CON INGR. IN VIA SAN PAOLO N.7 NUM.0061; (Z.D. 1)
VIA AGNELLO N. 18 ; (Z.D. 1)
